FoodId,FoodDescription
1,"Abalone, black lip, aquacultured, raw"
2,"Abalone, black lip, wild, raw"
4,"Abalone, green lip, aquacultured, raw"
5,"Abalone, green lip, wild, raw"
6,"Alcoholic beverage, spirit, approx 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked"
7,"Alcoholic beverage, spirit, approx 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)"
8,"Almond beverage, added sugar & Ca"
9,"Almond beverage, added sugar & vitamins B1, B2 & B12 & Ca"
10,"Almond beverage, added sugar, unfortified"
11,"Almond beverage, no added sugar, added Ca"
12,"Almond beverage, no added sugar, unfortified"
13,"Amaranth, grain, whole, uncooked"
14,"Anchovy, canned in oil, drained"
15,"Apple, bonza, unpeeled, raw"
16,"Apple, dried"
17,"Apple, fuji, unpeeled, raw"
18,"Apple, golden delicious, unpeeled, raw"
19,"Apple, granny-smith, unpeeled, raw"
20,"Apple, green skin, unpeeled, raw"
21,"Apple, jonathon, unpeeled, raw"
22,"Apple, pink lady, unpeeled, raw"
23,"Apple, red delicious, unpeeled, raw"
24,"Apple, red skin, unpeeled, raw"
25,"Apple, royal gala, unpeeled, raw"
26,"Apricot, canned in pear juice"
27,"Apricot, canned in pear juice, drained"
28,"Apricot, canned in pear juice, juice only"
29,"Apricot, dried"
30,"Apricot, raw"
31,"Artichoke heart, canned in brine, drained"
32,"Artichoke, globe, boiled, drained"
33,"Artichoke, globe, raw"
34,"Artichoke, jerusalem, peeled, boiled, drained"
35,"Artichoke, jerusalem, peeled, raw"
36,"Asparagus, canned in brine, drained"
37,"Asparagus, green, boiled, drained"
38,"Asparagus, green, raw"
39,"Avocado, raw"
40,"Bacon, middle rasher, separable fat, fried, no added fat"
41,"Bacon, middle rasher, separable lean, fried, no added fat"
42,"Bacon, middle rasher, untrimmed, raw"
43,"Bacon, shortcut, as purchased without rind, fried, no added fat"
44,"Baked beans, canned in tomato sauce"
45,"Baked beans, canned in tomato sauce, reduced salt"
46,"Baking powder, dry powder"
47,"Baking soda (bicarbonate), dry powder"
48,"Ball, snack, date based"
49,"Bamboo shoot, canned in water, heated, drained"
50,"Banana, cavendish, peeled, raw"
51,"Banana, lady finger or sugar, peeled, raw"
52,"Bar, cherry & coconut centre, dark chocolate-coated"
53,"Bar, coconut cream centre, milk chocolate-coated"
54,"Bar, honeycomb centre, milk chocolate-coated"
55,"Bar, muesli, plain or with dried fruit"
56,"Bar, muesli, plain or with dried fruit, chocolate-coated"
57,"Bar, muesli, plain or with dried fruit, yoghurt-coated"
58,"Bar, muesli, with nuts"
59,"Bar, nougat & caramel centre, milk chocolate-coated"
60,"Bar, snack, fruit filled, baked"
61,"Bar, snack, oat based, baked"
62,"Bar, snack, with >35% nuts, added protein"
63,"Bar, snack, with >55% nuts"
64,"Barley, pearl, boiled, no added fat or salt"
65,"Barley, pearl, uncooked"
66,"Barramundi, aquacultured, fillet, grilled, no added fat"
67,"Barramundi, aquacultured, fillet, raw"
68,"Barramundi, aquacultured, fillet, steamed with no added fat"
69,"Basil, green, fresh, raw"
70,"Bassa (basa), fillet, baked, no added fat"
71,"Bassa (basa), fillet, steamed, no added fat"
72,"Bassa, fillet, raw"
73,"Bean, broad, dried"
74,"Bean, broad, fresh, boiled, drained"
75,"Bean, broad, fresh, raw"
77,"Bean, butter, fresh, boiled, drained"
78,"Bean, butter, fresh, raw"
79,"Bean, green, fresh, boiled, drained"
80,"Bean, green, fresh, raw"
81,"Bean, green, frozen, boiled, drained"
82,"Bean, haricot, dried"
83,"Bean, haricot, dried, boiled, drained"
84,"Bean, lima, dried"
85,"Bean, lima, dried, boiled, drained"
86,"Bean, mung, whole, dried, uncooked"
87,"Bean, red kidney, canned, drained"
88,"Bean, red kidney, dried"
89,"Bean, red kidney, dried, boiled, drained"
90,"Bean, red kidney, fresh, boiled, drained"
91,"Bean, red kidney, fresh, raw"
92,"Beef, all cuts, separable fat, cooked, no added fat"
93,"Beef, all cuts, separable fat, raw"
94,"Beef, boneless dice or strips, lean, casseroled, no added fat"
95,"Beef, boneless dice or strips, lean, raw"
96,"Beef, boneless dice or strips, lean, stir-fried, no added fat"
97,"Beef, boneless dice or strips, untrimmed, casseroled, no added fat"
98,"Beef, boneless dice or strips, untrimmed, raw"
99,"Beef, boneless dice or strips, untrimmed, stir-fried, no added fat"
100,"Beef, casserole meat, boneless or bone-in, blade, lean, casseroled"
101,"Beef, casserole meat, boneless or bone-in, shin, lean, casseroled, no added fat"
102,"Beef, casserole meat, boneless or bone-in, shin, lean, raw"
103,"Beef, casserole meat, boneless or bone-in, shin, semi-trimmed, casseroled, no added fat"
104,"Beef, casserole meat, boneless or bone-in, shin, semi-trimmed, raw"
105,"Beef, casserole meat, boneless or bone-in, shin, untrimmed, casseroled, no added fat"
106,"Beef, casserole meat, boneless or bone-in, shin, untrimmed, raw"
107,"Beef, casserole meat, boneless, blade or chuck, lean, casseroled, no added fat"
108,"Beef, casserole meat, boneless, blade or chuck, lean, raw"
109,"Beef, casserole meat, boneless, blade or chuck, semi-trimmed, casseroled"
110,"Beef, casserole meat, boneless, blade or chuck, semi-trimmed, raw"
111,"Beef, casserole meat, boneless, blade or chuck, untrimmed, casseroled, no added fat"
112,"Beef, casserole meat, boneless, blade or chuck, untrimmed, raw"
113,"Beef, casserole meat, boneless, blade, semi-trimmed, casseroled"
114,"Beef, casserole meat, boneless, blade, untrimmed, casseroled"
115,"Beef, casserole meat, boneless, chuck, lean, casseroled, no added fat"
116,"Beef, casserole meat, boneless, chuck, lean, raw"
117,"Beef, casserole meat, boneless, chuck, semi-trimmed, casseroled"
118,"Beef, casserole meat, boneless, chuck, semi-trimmed, raw"
119,"Beef, casserole meat, boneless, chuck, untrimmed, casseroled, no added fat"
120,"Beef, casserole meat, boneless, chuck, untrimmed, raw"
121,"Beef, corned, canned"
122,"Beef, diced, lean, casseroled, no added fat"
123,"Beef, diced, lean, dry-fried, no added fat"
124,"Beef, diced, lean, raw"
125,"Beef, diced, untrimmed, casseroled, no added fat"
126,"Beef, diced, untrimmed, dry-fried, no added fat"
127,"Beef, diced, untrimmed, raw"
128,"Beef, mince, higher fat, raw"
129,"Beef, mince, higher fat, stir-fried, no added fat"
130,"Beef, mince, lower fat, raw"
131,"Beef, mince, lower fat, stir-fried, no added fat"
132,"Beef, mince, regular fat, raw"
133,"Beef, mince, regular fat, stir-fried, no added fat"
134,"Beef, roasting piece, silverside or topside, lean, raw"
135,"Beef, roasting piece, silverside or topside, lean, roasted, no added fat"
136,"Beef, roasting piece, silverside or topside, semi-trimmed, raw"
137,"Beef, roasting piece, silverside or topside, semi-trimmed, roasted, no added fat"
138,"Beef, roasting piece, silverside or topside, untrimmed, raw"
139,"Beef, roasting piece, silverside or topside, untrimmed, roasted, no added fat"
140,"Beef, rump steak, lean, grilled, no added fat"
141,"Beef, rump steak, lean, raw"
142,"Beef, rump steak, semi-trimmed, grilled, no added fat"
143,"Beef, rump steak, semi-trimmed, raw"
144,"Beef, rump steak, untrimmed, grilled, no added fat"
145,"Beef, rump steak, untrimmed, raw"
146,"Beef, silverside roast, lean, raw"
147,"Beef, silverside roast, lean, roasted, no added fat"
148,"Beef, silverside roast, semi-trimmed, raw"
149,"Beef, silverside roast, semi-trimmed, roasted, no added fat"
150,"Beef, silverside roast, untrimmed, raw"
151,"Beef, silverside roast, untrimmed, roasted, no added fat"
152,"Beef, sirloin steak, lean, grilled, no added fat"
153,"Beef, sirloin steak, lean, raw"
154,"Beef, sirloin steak, semi-trimmed, grilled, no added fat"
155,"Beef, sirloin steak, semi-trimmed, raw"
156,"Beef, sirloin steak, untrimmed, grilled, no added fat"
157,"Beef, sirloin steak, untrimmed, raw"
158,"Beef, steak, boneless or bone-in, blade, lean, grilled, no added fat"
159,"Beef, steak, boneless or bone-in, blade, lean, raw"
160,"Beef, steak, boneless or bone-in, blade, semi-trimmed, grilled, no added fat"
161,"Beef, steak, boneless or bone-in, blade, semi-trimmed, raw"
162,"Beef, steak, boneless or bone-in, blade, untrimmed, raw"
163,"Beef, steak, boneless rump or sirloin, lean, grilled, no added fat"
164,"Beef, steak, boneless rump or sirloin, lean, raw"
165,"Beef, steak, boneless rump or sirloin, semi-trimmed, grilled, no added fat"
166,"Beef, steak, boneless rump or sirloin, semi-trimmed, raw"
167,"Beef, steak, boneless rump or sirloin, untrimmed, grilled, no added fat"
168,"Beef, steak, boneless rump or sirloin, untrimmed, raw"
169,"Beef, steak, boneless, fillet or tenderloin, lean, grilled, no added fat"
170,"Beef, steak, boneless, fillet or tenderloin, lean, raw"
171,"Beef, steak, boneless, fillet or tenderloin, semi-trimmed, grilled, no added fat"
172,"Beef, steak, boneless, fillet or tenderloin, semi-trimmed, raw"
173,"Beef, steak, boneless, fillet or tenderloin, untrimmed, grilled, no added fat"
174,"Beef, steak, boneless, fillet or tenderloin, untrimmed, raw"
175,"Beef, steak, boneless, round, lean, grilled, no added fat"
176,"Beef, steak, boneless, round, lean, raw"
177,"Beef, steak, boneless, round, semi-trimmed, grilled, no added fat"
178,"Beef, steak, boneless, round, semi-trimmed, raw"
179,"Beef, steak, boneless, round, untrimmed, grilled, no added fat"
180,"Beef, steak, boneless, round, untrimmed, raw"
181,"Beef, steak, boneless, scotch fillet, lean, grilled, no added fat"
182,"Beef, steak, boneless, scotch fillet, lean, raw"
183,"Beef, steak, boneless, scotch fillet, semi-trimmed, grilled, no added fat"
184,"Beef, steak, boneless, scotch fillet, semi-trimmed, raw"
185,"Beef, steak, boneless, scotch fillet, untrimmed, grilled, no added fat"
186,"Beef, steak, boneless, scotch fillet, untrimmed, raw"
187,"Beef, steak, with bone, blade, untrimmed, grilled, no added fat"
188,"Beef, steak, with bone, T-bone or blade, lean, grilled, no added fat"
189,"Beef, steak, with bone, T-bone or blade, lean, raw"
190,"Beef, steak, with bone, T-bone or blade, semi-trimmed, grilled, no added fat"
191,"Beef, steak, with bone, T-bone or blade, semi-trimmed, raw"
192,"Beef, steak, with bone, T-bone or blade, untrimmed, grilled, no added fat"
193,"Beef, steak, with bone, T-bone or blade, untrimmed, raw"
194,"Beef, steak, with bone, T-bone, lean, grilled, no added fat"
195,"Beef, steak, with bone, T-bone, lean, raw"
196,"Beef, steak, with bone, T-bone, semi-trimmed, grilled, no added fat"
197,"Beef, steak, with bone, T-bone, semi-trimmed, raw"
198,"Beef, steak, with bone, T-bone, untrimmed, grilled, no added fat"
199,"Beef, steak, with bone, T-bone, untrimmed, raw"
200,"Beef, stir-fry strips, lean, dry-fried, no added fat"
201,"Beef, stir-fry strips, lean, raw"
202,"Beef, stir-fry strips, untrimmed, dry-fried, no added fat"
203,"Beef, stir-fry strips, untrimmed, raw"
204,"Beef, strips, lean, casseroled, no added fat"
205,"Beef, strips, untrimmed, casseroled, no added fat"
206,"Beef, topside roast, lean, raw"
207,"Beef, topside roast, lean, roasted, no added fat"
208,"Beef, topside roast, semi-trimmed, raw"
209,"Beef, topside roast, semi-trimmed, roasted, no added fat"
210,"Beef, topside roast, untrimmed, raw"
211,"Beef, topside roast, untrimmed, roasted, no added fat"
213,"Beer, full strength (alcohol 4-4.9% v/v)"
214,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified"
215,"Beer, high alcohol (5% v/v & above)"
216,"Beer, light (alcohol 1-2.9% v/v)"
217,"Beer, mid-strength (alcohol 3-3.9% v/v)"
218,"Beetroot, canned in brine, drained"
219,"Beetroot, fresh, purple, peeled, baked, no added fat"
220,"Beetroot, fresh, purple, peeled, boiled, drained"
221,"Beetroot, fresh, purple, peeled, raw"
222,"Beverage base, chocolate flavour, added vitamins A, B1, B2, C & D, Ca & Fe (Milo)"
223,"Beverage base, chocolate flavour, unfortified (Nesquik brand)"
224,"Beverage base, drinking chocolate, unfortified"
226,"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk"
227,"Beverage, chocolate flavour, from Milo powder, with regular fat cows milk"
228,"Beverage, chocolate flavour, from Nesquik powder, with regular fat cows milk"
229,"Biscuit, savoury, corn cake, plain, salted"
230,"Biscuit, savoury, from rye flour, crispbread"
231,"Biscuit, savoury, from wheat flour, crispbread, puffed & toasted"
232,"Biscuit, savoury, from white wheat flour, cheese-flavoured"
233,"Biscuit, savoury, from white wheat flour, flaky cracker style"
234,"Biscuit, savoury, from white wheat flour, flavoured (excluding cheese)"
235,"Biscuit, savoury, from white wheat flour, plain snack cracker style"
236,"Biscuit, savoury, from white wheat flour, Salada style"
